user_idx,item_idx,interaction
0,1025,1
0,279,1
0,215,1
0,2021,1
0,2001,1
0,1816,1
0,1023,1
0,1916,1
0,1066,1
0,1850,1
1,1949,1
1,544,1
1,2021,1
1,762,1
1,232,1
1,236,1
1,793,1
1,1301,1
1,2117,1
1,261,1
2,351,1
2,1553,1
2,416,1
2,2285,1
2,1552,1
2,1615,1
2,1529,1
2,598,1
2,1367,1
2,2198,1
2,325,1
2,1380,1
2,2213,1
2,998,1
3,1213,1
3,1024,1
3,1129,1
3,2001,1
3,2050,1
3,1087,1
3,1184,1
3,1433,1
3,1998,1
3,1416,1
3,2088,1
3,1063,1
3,1036,1
3,1062,1
3,1023,1
3,1069,1
3,1962,1
3,1970,1
3,1025,1
3,1423,1
3,1026,1
3,1965,1
3,2090,1
3,1241,1
3,1053,1
3,1967,1
3,2000,1
3,1065,1
3,1074,1
3,1217,1
3,1426,1
3,2048,1
3,1971,1
3,1974,1
3,1186,1
3,1438,1
3,1016,1
4,1428,1
4,2250,1
4,1250,1
4,1056,1
4,1189,1
4,1187,1
4,1180,1
5,2106,1
5,1916,1
5,1295,1
5,2111,1
5,1286,1
5,2102,1
5,1285,1
5,1329,1
5,2151,1
5,1802,1
5,2137,1
6,536,1
6,1603,1
6,1567,1
6,1605,1
6,1506,1
6,943,1
6,601,1
6,550,1
6,1570,1
6,535,1
6,532,1
6,1604,1
6,1649,1
6,144,1
7,215,1
7,244,1
7,239,1
7,236,1
7,237,1
7,274,1
7,382,1
7,219,1
7,756,1
7,759,1
8,1396,1
8,2232,1
8,1036,1
8,1967,1
8,1056,1
8,1984,1
8,1096,1
9,1084,1
9,1561,1
9,1624,1
9,2004,1
9,1107,1
9,1439,1
9,1852,1
9,1672,1
9,2250,1
9,1917,1
10,760,1
10,1501,1
10,904,1
10,868,1
10,268,1
10,406,1
10,401,1
11,1981,1
11,1997,1
11,1037,1
11,1109,1
11,1179,1
11,1090,1
11,1142,1
12,1962,1
12,499,1
12,404,1
12,452,1
12,386,1
12,1293,1
12,2109,1
12,1063,1
13,2174,1
13,1888,1
13,1898,1
13,1864,1
13,57,1
13,58,1
13,324,1
13,1681,1
14,784,1
14,981,1
14,1933,1
14,1723,1
14,831,1
14,905,1
14,2219,1
14,270,1
14,1649,1
14,910,1
14,1275,1
14,615,1
14,781,1
15,1916,1
15,279,1
15,922,1
15,400,1
15,1639,1
15,1628,1
15,921,1
16,1449,1
16,1084,1
16,1107,1
16,1442,1
16,2268,1
16,2269,1
16,1458,1
16,2002,1
16,1130,1
16,2273,1
16,2275,1
16,1469,1
16,1437,1
17,1602,1
17,1656,1
17,1533,1
17,865,1
17,877,1
17,2234,1
17,834,1
17,988,1
17,1592,1
17,886,1
17,893,1
17,1548,1
17,1632,1
17,1939,1
18,1973,1
18,1054,1
18,2004,1
