user_idx,item_idx
0,496
0,496
1,961
1,1015
2,795
2,796
3,304
3,314
3,328
4,223
4,265
4,807
5,151
5,364
5,799
5,799
6,288
6,289
7,387
7,450
7,670
7,897
9,279
9,414
10,499
10,499
10,499
10,499
11,576
11,577
11,578
12,387
12,802
12,1056
13,223
13,265
14,1055
14,1057
16,270
16,490
16,793
19,187
19,314
20,760
20,760
21,265
21,405
22,198
22,700
22,968
23,222
23,385
24,447
24,668
27,535
27,537
27,697
28,16
28,400
28,656
28,668
28,778
28,791
30,508
30,690
30,791
30,983
31,734
31,757
33,779
33,779
35,387
35,388
36,70
36,760
38,681
38,700
39,198
39,978
40,1054
40,1056
41,700
41,700
41,700
41,700
42,2
42,281
42,650
43,383
43,390
43,397
43,796
44,448
44,681
46,619
46,650
46,655
47,362
47,488
47,734
47,757
47,867
47,976
48,259
48,605
49,778
49,795
50,628
50,628
52,250
52,281
52,360
52,471
52,808
54,201
54,496
54,663
54,1018
55,35
55,265
55,389
56,411
56,427
58,397
58,668
59,720
59,752
60,335
60,547
60,585
60,658
60,833
62,320
62,320
63,135
63,373
65,120
65,477
66,496
66,496
67,183
67,183
69,306
69,353
70,561
70,603
71,701
71,701
72,387
72,668
74,4
74,288
74,291
75,663
75,863
76,387
76,784
76,807
76,807
79,240
79,400
79,600
79,605
79,610
79,615
80,373
80,373
82,204
82,265
85,192
85,651
86,248
86,784
88,548
88,555
90,16
90,254
91,546
91,596
91,621
92,266
92,683
92,700
92,778
93,283
93,500
93,616
93,778
94,530
94,563
96,419
96,509
99,599
99,987
99,991
100,491
100,996
101,656
101,688
102,387
102,390
104,436
104,476
105,387
105,389
107,400
107,400
108,251
108,891
109,266
109,331
109,987
110,199
110,201
110,202
111,265
111,799
112,201
112,1001
114,145
114,290
114,304
116,320
116,387
116,508
116,563
116,605
116,693
116,799
117,576
117,647
118,496
118,496
120,706
120,963
121,271
121,404
121,797
122,548
122,563
122,585
122,606
122,782
122,875
123,357
123,360
123,550
124,791
124,1018
125,151
125,987
125,1020
126,886
126,886
126,886
127,761
127,968
129,628
129,961
130,66
130,84
130,904
131,585
131,605
132,265
132,642
133,465
133,975
133,975
134,496
134,750
135,190
135,273
136,650
136,660
137,548
137,917
140,700
140,775
141,274
141,661
141,932
141,1032
143,551
143,594
144,434
144,436
144,595
145,176
145,187
145,898
145,981
146,347
146,421
148,305
148,309
148,403
150,585
150,596
150,628
151,389
151,503
152,400
152,807
152,807
152,894
153,182
153,198
154,513
154,637
155,387
155,387
155,388
155,388
156,548
156,575
157,777
157,795
159,385
159,539
159,561
159,628
160,222
160,712
163,967
163,967
163,967
164,647
164,684
165,496
165,668
166,387
166,512
167,262
167,902
168,492
168,665
169,240
169,385
170,494
170,496
171,222
171,400
171,700
171,968
173,496
173,795
174,172
174,982
178,222
178,993
180,799
180,954
182,683
182,728
183,665
183,894
185,187
185,190
185,379
185,400
185,530
185,534
185,647
185,651
185,816
185,842
187,898
187,968
188,427
188,430
188,525
189,223
189,810
190,416
190,922
192,189
192,198
192,199
192,201
193,648
193,686
193,710
194,342
194,707
194,752
194,899
194,908
194,927
195,778
195,778
196,61
196,198
197,668
197,791
199,337
199,441
199,728
200,700
200,902
203,0
203,700
204,27
204,28
204,39
205,393
205,658
206,33
206,146
207,388
207,951
208,385
208,1040
209,391
209,436
210,222
210,267
210,387
210,441
212,628
212,1035
213,441
213,660
213,802
214,271
214,540
215,620
215,795
215,799
216,203
216,393
217,489
217,700
219,399
219,488
220,387
220,390
221,388
221,390
221,390
221,967
222,385
222,399
223,530
223,531
223,534
223,537
223,540
223,545
223,551
223,577
223,585
225,228
225,249
226,66
226,84
228,399
228,557
229,528
229,764
231,387
231,388
232,399
232,423
233,372
233,405
234,528
234,528
236,201
236,203
237,371
237,492
240,195
240,271
240,388
240,927
241,436
241,914
243,223
243,777
244,391
244,609
246,569
246,605
246,626
247,187
247,206
249,614
249,621
250,496
250,650
250,1055
251,912
251,923
251,1045
252,288
252,290
254,387
254,503
255,444
255,712
257,208
257,712
258,266
258,793
259,600
259,619
259,750
261,1031
261,1032
262,170
262,647
263,265
263,320
263,663
264,230
264,266
264,385
264,389
266,500
266,930
268,305
268,991
268,997
268,1000
269,34
269,204
269,207
271,322
271,764
272,273
272,842
274,191
274,484
274,503
274,505
274,506
274,667
274,748
274,953
276,443
276,445
276,445
276,442
277,222
277,269
277,283
279,389
279,400
280,265
280,269
281,201
281,700
282,322
282,496
283,867
283,981
284,619
284,620
288,222
288,260
288,263
289,582
289,791
290,35
290,400
290,663
290,700
292,218
292,222
292,244
292,492
292,496
293,487
293,782
293,1048
295,925
295,925
296,319
296,431
297,131
297,1035
298,343
298,802
299,637
299,911
300,387
300,1049
301,600
301,602
302,81
302,387
302,389
304,550
304,603
306,39
306,547
306,700
307,150
307,387
308,630
308,767
309,482
309,793
310,664
310,995
311,364
311,405
312,377
312,377
313,322
313,387
314,503
314,948
315,34
315,193
315,198
318,480
318,767
319,359
319,1055
320,405
320,679
322,63
322,215
322,280
323,581
323,885
324,26
324,385
324,428
324,1049
325,262
325,266
325,391
326,223
326,246
327,22
327,253
328,502
328,658
328,847
329,504
329,765
330,63
330,427
332,2
332,2
333,334
333,360
333,637
333,921
334,59
334,416
334,672
334,747
335,217
335,778
336,47
336,273
338,397
338,544
338,658
339,400
339,443
339,770
339,799
341,392
341,392
342,381
342,648
343,382
343,650
343,1055
345,383
345,802
345,810
346,891
346,931
348,383
348,810
349,385
349,392
351,240
351,262
352,249
352,970
353,967
353,1032
354,358
354,594
354,638
354,1016
356,310
356,799
357,1054
357,1057
359,91
359,357
360,760
360,760
361,198
361,235
361,271
361,530
361,576
361,596
361,658
361,968
361,968
362,414
362,414
364,503
364,507
365,585
365,596
366,453
366,701
367,193
367,283
368,791
368,1049
369,147
369,147
369,886
370,253
370,717
372,391
372,393
373,700
373,968
376,236
376,791
377,232
377,239
378,194
378,643
378,643
378,780
380,769
380,966
381,389
381,774
382,185
382,1013
383,198
383,347
384,147
384,540
384,545
384,546
384,565
384,638
385,647
385,919
386,4
386,318
387,29
387,34
387,582
388,222
388,232
388,235
388,239
388,240
388,265
389,550
389,598
391,399
391,793
393,348
393,630
394,149
394,657
395,22
395,629
396,387
396,389
397,385
397,403
398,173
398,482
399,614
399,620
400,796
400,842
401,260
401,389
401,650
402,29
402,404
403,555
403,570
404,320
404,885
405,491
405,776
406,692
406,947
406,991
406,1000
407,373
407,373
408,385
408,795
409,271
409,763
410,496
410,894
413,373
413,373
415,620
415,948
416,220
416,232
418,628
418,628
419,393
419,700
420,4
420,40
420,319
421,364
421,405
423,544
423,576
423,585
423,603
423,626
424,88
424,700
425,242
425,242
425,242
425,248
426,28
426,38
427,413
427,574
427,663
427,1037
428,240
428,283
429,180
429,198
429,277
429,550
429,539
429,563
429,598
429,600
429,605
430,394
430,650
431,246
431,493
432,389
432,501
432,968
433,273
433,354
434,64
434,280
434,360
434,492
434,1049
436,527
436,599
437,403
437,582
437,585
437,690
440,283
440,387
440,390
441,386
441,391
444,647
444,651
445,322
445,489
445,489
446,489
446,491
447,496
447,710
447,765
448,280
448,1000
449,218
449,222
449,223
449,223
449,244
449,245
449,259
450,197
450,786
451,199
451,639
451,717
452,266
452,765
454,681
454,777
455,205
455,716
456,222
456,301
456,795
457,254
457,265
457,283
458,266
458,301
459,387
459,395
460,546
460,616
461,424
461,933
463,265
463,968
467,724
467,819
469,603
469,619
470,914
470,991
471,658
471,803
473,672
473,1037
473,1037
473,1037
474,347
474,917
475,847
475,981
476,544
476,585
476,700
477,594
477,606
478,38
478,39
480,387
480,440
481,264
481,277
481,404
481,685
481,972
481,1031
482,70
482,73
483,546
483,550
484,695
484,703
484,712
485,578
485,603
487,389
487,656
487,799
487,799
487,799
488,443
488,445
488,1058
490,338
490,432
490,668
491,290
491,290
493,191
493,270
493,347
494,64
494,64
495,539
495,611
495,619
496,5
496,147
496,779
497,222
497,253
497,498
497,571
498,51
498,99
499,287
499,287
499,287
500,959
500,968
501,653
501,700
502,707
502,899
503,336
503,336
505,324
505,931
506,231
506,690
507,206
507,776
508,385
508,548
510,956
510,991
511,266
511,385
511,663
511,700
512,320
512,320
513,205
513,322
514,33
514,270
517,530
517,545
518,492
518,1049
522,58
522,352
522,915
525,488
525,573
525,629
526,713
526,713
527,189
527,191
527,198
527,749
530,308
530,663
531,477
531,496
532,196
532,304
532,796
532,1018
533,268
533,383
534,266
534,271
534,948
535,146
535,308
535,899
536,287
536,293
538,338
538,338
538,421
538,472
538,1037
538,1037
539,148
539,271
540,660
540,660
541,466
541,727
542,2
542,320
542,1057
545,677
545,739
545,764
545,1018
546,489
546,489
547,30
547,177
548,58
548,176
550,389
550,390
551,37
551,494
552,231
552,279
552,282
552,385
556,230
556,266
558,280
558,424
558,792
559,344
559,457
560,650
560,914
561,201
561,668
562,268
562,791
563,193
563,700
564,249
564,373
564,385
566,683
566,718
567,209
567,290
567,436
568,1023
568,1023
568,1023
568,1023
568,1023
568,1023
568,1023
568,1023
568,1023
568,1023
568,1023
569,492
569,494
570,599
570,656
571,389
571,390
574,759
574,894
575,427
575,496
575,663
576,765
576,1053
576,1055
576,1056
579,710
579,765
580,194
580,196
580,271
580,281
580,389
580,606
580,688
580,692
580,872
580,947
580,991
581,389
581,799
582,227
582,488
583,480
583,643
584,441
584,970
585,269
585,389
585,778
588,748
588,763
589,531
589,585
590,0
590,1
591,531
591,540
591,585
592,271
592,630
593,248
593,373
593,385
593,390
595,264
595,264
596,684
596,795
596,1049
597,499
597,499
598,140
598,400
599,35
599,968
600,235
600,235
600,235
600,235
601,50
601,650
601,700
601,1021
602,820
602,928
603,967
603,967
604,359
604,385
604,1055
605,495
605,688
605,778
605,1035
606,15
606,51
609,47
609,61
610,551
610,555
610,561
610,571
611,389
611,391
612,266
612,403
613,273
613,544
613,691
613,755
614,489
614,489
615,483
615,995
616,1049
616,1049
618,489
618,576
618,585
618,603
619,187
619,431
619,956
620,953
620,968
621,28
621,987
622,184
622,206
623,778
623,793
626,64
626,697
627,489
627,489
628,14
628,405
628,929
629,763
629,767
631,561
631,603
631,630
632,0
632,586
634,540
634,543
634,544
635,389
635,499
636,1026
636,1026
637,447
637,447
638,379
638,767
639,608
639,756
640,205
640,207
640,208
641,271
641,273
641,351
643,223
643,239
643,370
643,388
644,359
644,546
647,1054
647,1055
648,389
648,778
649,981
